,City,Year,Main Cause
0,New York,2017,Alcohol Involvement
1,New York,2017,Driver Fatigue
2,New York,2017,Speeding
3,New York,2017,Alcohol Involvement
5,New York,2017,Drug Involvement
6,New York,2017,Driver Fatigue
7,New York,2017,Aggressive Driving
9,New York,2017,Drug Involvement
10,New York,2017,Aggressive Driving
13,New York,2017,Weather Conditions
14,New York,2017,Unlicensed Driver
15,New York,2017,Tailgating
16,New York,2017,Aggressive Driving
17,New York,2017,Distracted Driving
18,New York,2017,Tailgating
19,New York,2017,Drug Involvement
20,New York,2017,Failure to Yield
21,New York,2017,Drug Involvement
22,New York,2017,Aggressive Driving
23,New York,2017,Unlicensed Driver
24,New York,2017,Failure to Yield
25,New York,2017,Alcohol Involvement
26,New York,2017,Alcohol Involvement
28,New York,2017,Alcohol Involvement
30,New York,2017,Aggressive Driving
31,New York,2017,Speeding
38,New York,2017,Improper Lane Change
40,New York,2017,Unlicensed Driver
41,New York,2017,Aggressive Driving
44,New York,2017,Driver Fatigue
45,New York,2017,Aggressive Driving
48,New York,2017,Driver Fatigue
49,New York,2017,Running Red Light
50,New York,2017,Weather Conditions
51,New York,2017,Running Red Light
52,New York,2017,Driver Fatigue
53,New York,2017,Driver Fatigue
54,New York,2017,Aggressive Driving
56,New York,2017,Improper Lane Change
58,New York,2017,Drug Involvement
60,New York,2017,Failure to Yield
61,New York,2017,Tailgating
62,New York,2017,Drug Involvement
63,New York,2017,Failure to Yield
64,New York,2017,Speeding
68,New York,2017,Driver Fatigue
69,New York,2017,Tailgating
70,New York,2017,Drug Involvement
72,New York,2017,Driver Fatigue
73,New York,2017,Failure to Yield
75,New York,2017,Tailgating
76,New York,2017,Driver Fatigue
78,New York,2017,Unlicensed Driver
80,New York,2017,Drug Involvement
82,New York,2017,Driver Fatigue
84,New York,2017,Distracted Driving
85,New York,2017,Improper Lane Change
86,New York,2017,Drug Involvement
87,New York,2017,Weather Conditions
88,New York,2017,Driver Fatigue
89,New York,2017,Weather Conditions
90,New York,2017,Driver Fatigue
91,New York,2017,Tailgating
92,New York,2017,Driver Fatigue
94,New York,2017,Tailgating
95,New York,2017,Running Red Light
96,New York,2017,Tailgating
97,New York,2017,Weather Conditions
98,New York,2017,Failure to Yield
99,New York,2017,Distracted Driving
100,New York,2017,Tailgating
101,New York,2017,Speeding
102,New York,2017,Drug Involvement
103,New York,2017,Speeding
105,New York,2017,Aggressive Driving
106,New York,2017,Drug Involvement
107,New York,2017,Aggressive Driving
108,New York,2017,Failure to Yield
109,New York,2017,Drug Involvement
110,New York,2017,Unlicensed Driver
111,New York,2018,Speeding
112,New York,2018,Tailgating
113,New York,2018,Distracted Driving
115,New York,2018,Drug Involvement
116,New York,2018,Improper Lane Change
117,New York,2018,Unlicensed Driver
